order_id,order_purchase_timestamp,price
SIM-intraday_batch_20260831_221315-0000,2018-09-04 00:15:00,337.98
SIM-intraday_batch_20260831_221315-0001,2018-09-04 03:15:00,337.98
SIM-intraday_batch_20260831_221315-0002,2018-09-04 06:15:00,337.98
SIM-intraday_batch_20260831_221315-0003,2018-09-04 09:15:00,337.98
SIM-intraday_batch_20260831_221315-0004,2018-09-04 12:15:00,337.98
SIM-intraday_batch_20260831_221315-0005,2018-09-04 15:15:00,337.98
SIM-intraday_batch_20260831_221315-0006,2018-09-04 18:15:00,337.98
SIM-intraday_batch_20260831_221315-0007,2018-09-04 21:15:00,337.98
SIM-intraday_batch_20260831_221315-0008,2018-09-04 00:15:00,337.98
SIM-intraday_batch_20260831_221315-0009,2018-09-04 03:15:00,337.98
SIM-intraday_batch_20260831_221315-0010,2018-09-04 06:15:00,337.98
SIM-intraday_batch_20260831_221315-0011,2018-09-04 09:15:00,337.98
SIM-intraday_batch_20260831_221315-0012,2018-09-04 12:15:00,337.98
SIM-intraday_batch_20260831_221315-0013,2018-09-04 15:15:00,337.98
SIM-intraday_batch_20260831_221315-0014,2018-09-04 18:15:00,337.98
SIM-intraday_batch_20260831_221315-0015,2018-09-04 21:15:00,337.98
SIM-intraday_batch_20260831_221315-0016,2018-09-04 00:15:00,337.98
SIM-intraday_batch_20260831_221315-0017,2018-09-04 03:15:00,337.98
SIM-intraday_batch_20260831_221315-0018,2018-09-04 06:15:00,337.98
SIM-intraday_batch_20260831_221315-0019,2018-09-04 09:15:00,337.98
SIM-intraday_batch_20260831_221315-0020,2018-09-04 12:15:00,337.98
SIM-intraday_batch_20260831_221315-0021,2018-09-04 15:15:00,337.98
SIM-intraday_batch_20260831_221315-0022,2018-09-04 18:15:00,337.98
SIM-intraday_batch_20260831_221315-0023,2018-09-04 21:15:00,337.98
SIM-intraday_batch_20260831_221315-0024,2018-09-04 00:15:00,337.98
SIM-intraday_batch_20260831_221315-0025,2018-09-04 03:15:00,337.98
SIM-intraday_batch_20260831_221315-0026,2018-09-04 06:15:00,337.98
SIM-intraday_batch_20260831_221315-0027,2018-09-04 09:15:00,337.98
SIM-intraday_batch_20260831_221315-0028,2018-09-04 12:15:00,337.98
SIM-intraday_batch_20260831_221315-0029,2018-09-04 15:15:00,337.98
SIM-intraday_batch_20260831_221315-0030,2018-09-04 18:15:00,337.98
SIM-intraday_batch_20260831_221315-0031,2018-09-04 21:15:00,337.98
SIM-intraday_batch_20260831_221315-0032,2018-09-04 00:15:00,337.98
SIM-intraday_batch_20260831_221315-0033,2018-09-04 03:15:00,337.98
SIM-intraday_batch_20260831_221315-0034,2018-09-04 06:15:00,337.98
SIM-intraday_batch_20260831_221315-0035,2018-09-04 09:15:00,337.98
SIM-intraday_batch_20260831_221315-0036,2018-09-04 12:15:00,337.98
SIM-intraday_batch_20260831_221315-0037,2018-09-04 15:15:00,337.98
SIM-intraday_batch_20260831_221315-0038,2018-09-04 18:15:00,337.98
SIM-intraday_batch_20260831_221315-0039,2018-09-04 21:15:00,337.98
SIM-intraday_batch_20260831_221315-0040,2018-09-04 00:15:00,337.98
SIM-intraday_batch_20260831_221315-0041,2018-09-04 03:15:00,337.98
SIM-intraday_batch_20260831_221315-0042,2018-09-04 06:15:00,337.98
SIM-intraday_batch_20260831_221315-0043,2018-09-04 09:15:00,337.98
SIM-intraday_batch_20260831_221315-0044,2018-09-04 12:15:00,337.98
SIM-intraday_batch_20260831_221315-0045,2018-09-04 15:15:00,337.98
SIM-intraday_batch_20260831_221315-0046,2018-09-04 18:15:00,337.98
SIM-intraday_batch_20260831_221315-0047,2018-09-04 21:15:00,337.98
SIM-intraday_batch_20260831_221315-0048,2018-09-04 00:15:00,337.98
SIM-intraday_batch_20260831_221315-0049,2018-09-04 03:15:00,337.98
SIM-intraday_batch_20260831_221315-0050,2018-09-04 06:15:00,337.98
SIM-intraday_batch_20260831_221315-0051,2018-09-04 09:15:00,337.98
SIM-intraday_batch_20260831_221315-0052,2018-09-04 12:15:00,337.98
SIM-intraday_batch_20260831_221315-0053,2018-09-04 15:15:00,337.98
SIM-intraday_batch_20260831_221315-0054,2018-09-04 18:15:00,337.98
SIM-intraday_batch_20260831_221315-0055,2018-09-04 21:15:00,337.98
SIM-intraday_batch_20260831_221315-0056,2018-09-04 00:15:00,337.98
SIM-intraday_batch_20260831_221315-0057,2018-09-04 03:15:00,337.98
SIM-intraday_batch_20260831_221315-0058,2018-09-04 06:15:00,337.98
SIM-intraday_batch_20260831_221315-0059,2018-09-04 09:15:00,337.98
SIM-intraday_batch_20260831_221315-0060,2018-09-04 12:15:00,337.98
SIM-intraday_batch_20260831_221315-0061,2018-09-04 15:15:00,337.98
SIM-intraday_batch_20260831_221315-0062,2018-09-04 18:15:00,337.98
SIM-intraday_batch_20260831_221315-0063,2018-09-04 21:15:00,337.98
SIM-intraday_batch_20260831_221315-0064,2018-09-04 00:15:00,337.98
SIM-intraday_batch_20260831_221315-0065,2018-09-04 03:15:00,337.98
SIM-intraday_batch_20260831_221315-0066,2018-09-04 06:15:00,337.98
SIM-intraday_batch_20260831_221315-0067,2018-09-04 09:15:00,337.98
SIM-intraday_batch_20260831_221315-0068,2018-09-04 12:15:00,337.98
SIM-intraday_batch_20260831_221315-0069,2018-09-04 15:15:00,337.98
SIM-intraday_batch_20260831_221315-0070,2018-09-04 18:15:00,337.98
SIM-intraday_batch_20260831_221315-0071,2018-09-04 21:15:00,337.98
SIM-intraday_batch_20260831_221315-0072,2018-09-04 00:15:00,337.98
SIM-intraday_batch_20260831_221315-0073,2018-09-04 03:15:00,337.98
SIM-intraday_batch_20260831_221315-0074,2018-09-04 06:15:00,337.98
SIM-intraday_batch_20260831_221315-0075,2018-09-04 09:15:00,337.98
SIM-intraday_batch_20260831_221315-0076,2018-09-04 12:15:00,337.98
SIM-intraday_batch_20260831_221315-0077,2018-09-04 15:15:00,337.98
SIM-intraday_batch_20260831_221315-0078,2018-09-04 18:15:00,337.98
SIM-intraday_batch_20260831_221315-0079,2018-09-04 21:15:00,337.98
SIM-intraday_batch_20260831_221315-0080,2018-09-04 00:15:00,337.98
SIM-intraday_batch_20260831_221315-0081,2018-09-04 03:15:00,337.98
SIM-intraday_batch_20260831_221315-0082,2018-09-04 06:15:00,337.98
SIM-intraday_batch_20260831_221315-0083,2018-09-04 09:15:00,337.98
SIM-intraday_batch_20260831_221315-0084,2018-09-04 12:15:00,337.98
SIM-intraday_batch_20260831_221315-0085,2018-09-04 15:15:00,337.98
SIM-intraday_batch_20260831_221315-0086,2018-09-04 18:15:00,337.98
SIM-intraday_batch_20260831_221315-0087,2018-09-04 21:15:00,337.98
SIM-intraday_batch_20260831_221315-0088,2018-09-04 00:15:00,337.98
SIM-intraday_batch_20260831_221315-0089,2018-09-04 03:15:00,337.98
SIM-intraday_batch_20260831_221315-0090,2018-09-04 06:15:00,337.98
SIM-intraday_batch_20260831_221315-0091,2018-09-04 09:15:00,337.98
SIM-intraday_batch_20260831_221315-0092,2018-09-04 12:15:00,337.98
SIM-intraday_batch_20260831_221315-0093,2018-09-04 15:15:00,337.98
SIM-intraday_batch_20260831_221315-0094,2018-09-04 18:15:00,337.98
SIM-intraday_batch_20260831_221315-0095,2018-09-04 21:15:00,337.98
SIM-intraday_batch_20260831_221315-0096,2018-09-04 00:15:00,337.98
SIM-intraday_batch_20260831_221315-0097,2018-09-04 03:15:00,337.98
SIM-intraday_batch_20260831_221315-0098,2018-09-04 06:15:00,337.98
SIM-intraday_batch_20260831_221315-0099,2018-09-04 09:15:00,337.98
SIM-intraday_batch_20260831_221315-0100,2018-09-04 12:15:00,337.98
SIM-intraday_batch_20260831_221315-0101,2018-09-04 15:15:00,337.98
SIM-intraday_batch_20260831_221315-0102,2018-09-04 18:15:00,337.98
SIM-intraday_batch_20260831_221315-0103,2018-09-04 21:15:00,337.98
SIM-intraday_batch_20260831_221315-0104,2018-09-04 00:15:00,337.98
SIM-intraday_batch_20260831_221315-0105,2018-09-04 03:15:00,337.98
SIM-intraday_batch_20260831_221315-0106,2018-09-04 06:15:00,337.98
