order_id,order_purchase_timestamp,price
SIM-intraday_batch_20260831_221409-0000,2018-09-04 00:15:00,133.16
SIM-intraday_batch_20260831_221409-0001,2018-09-04 03:15:00,133.16
SIM-intraday_batch_20260831_221409-0002,2018-09-04 06:15:00,133.16
SIM-intraday_batch_20260831_221409-0003,2018-09-04 09:15:00,133.16
SIM-intraday_batch_20260831_221409-0004,2018-09-04 12:15:00,133.16
SIM-intraday_batch_20260831_221409-0005,2018-09-04 15:15:00,133.16
SIM-intraday_batch_20260831_221409-0006,2018-09-04 18:15:00,133.16
SIM-intraday_batch_20260831_221409-0007,2018-09-04 21:15:00,133.16
SIM-intraday_batch_20260831_221409-0008,2018-09-04 00:15:00,133.16
SIM-intraday_batch_20260831_221409-0009,2018-09-04 03:15:00,133.16
SIM-intraday_batch_20260831_221409-0010,2018-09-04 06:15:00,133.16
SIM-intraday_batch_20260831_221409-0011,2018-09-04 09:15:00,133.16
SIM-intraday_batch_20260831_221409-0012,2018-09-04 12:15:00,133.16
SIM-intraday_batch_20260831_221409-0013,2018-09-04 15:15:00,133.16
SIM-intraday_batch_20260831_221409-0014,2018-09-04 18:15:00,133.16
SIM-intraday_batch_20260831_221409-0015,2018-09-04 21:15:00,133.16
SIM-intraday_batch_20260831_221409-0016,2018-09-04 00:15:00,133.16
SIM-intraday_batch_20260831_221409-0017,2018-09-04 03:15:00,133.16
SIM-intraday_batch_20260831_221409-0018,2018-09-04 06:15:00,133.16
SIM-intraday_batch_20260831_221409-0019,2018-09-04 09:15:00,133.16
SIM-intraday_batch_20260831_221409-0020,2018-09-04 12:15:00,133.16
SIM-intraday_batch_20260831_221409-0021,2018-09-04 15:15:00,133.16
SIM-intraday_batch_20260831_221409-0022,2018-09-04 18:15:00,133.16
SIM-intraday_batch_20260831_221409-0023,2018-09-04 21:15:00,133.16
SIM-intraday_batch_20260831_221409-0024,2018-09-04 00:15:00,133.16
SIM-intraday_batch_20260831_221409-0025,2018-09-04 03:15:00,133.16
SIM-intraday_batch_20260831_221409-0026,2018-09-04 06:15:00,133.16
SIM-intraday_batch_20260831_221409-0027,2018-09-04 09:15:00,133.16
SIM-intraday_batch_20260831_221409-0028,2018-09-04 12:15:00,133.16
SIM-intraday_batch_20260831_221409-0029,2018-09-04 15:15:00,133.16
SIM-intraday_batch_20260831_221409-0030,2018-09-04 18:15:00,133.16
SIM-intraday_batch_20260831_221409-0031,2018-09-04 21:15:00,133.16
SIM-intraday_batch_20260831_221409-0032,2018-09-04 00:15:00,133.16
SIM-intraday_batch_20260831_221409-0033,2018-09-04 03:15:00,133.16
SIM-intraday_batch_20260831_221409-0034,2018-09-04 06:15:00,133.16
SIM-intraday_batch_20260831_221409-0035,2018-09-04 09:15:00,133.16
SIM-intraday_batch_20260831_221409-0036,2018-09-04 12:15:00,133.16
